id,title,status,priceUsd
magnets,Magnets,trailblazer,129
focus,Focus,trailblazer,129
levers,Levers,trailblazer,129
beams,Beams,trailblazer,129
sales,Sales,trailblazer,399
carpentry,Carpentry,trailblazer,349
plumbing,Plumbing,trailblazer,349
capital,Capital,trailblazer,699
light,Light,believer,149
tools,Tools,believer,129
gravity,Gravity,believer,129
sound,Sound,believer,149
electricity,Electricity,believer,149
air,Air,believer,149
heat,Heat,believer,129
glass,Glass,believer,199
cells,Cells,believer,299
iron,Iron,believer,129
elements,Elements,believer,199
copper,Copper,believer,129
gold,Gold,believer,999
venture,Venture,believer,10000
banking,Banking,believer,1999
fire,Fire,believer,149
sleep,Sleep,believer,499
fields,Fields,believer,199
energy,Energy,believer,139
frequency,Frequency,believer,299
waves,Waves,believer,299
helices,Helices,believer,299
springs,Springs,believer,149
voltage,Voltage,believer,129
motors,Motors,believer,199
gears,Gears,believer,149
colors,Colors,believer,149
matter,Matter,believer,199
atoms,Atoms,believer,199
motion,Motion,believer,149
momentum,Momentum,believer,199
friction,Friction,believer,129
ropes,Ropes,believer,129
wind,Wind,believer,199
aerodynamics,Aerodynamics,believer,199
water,Water,believer,149
rust,Rust,believer,199
time,Time,believer,149
patience,Patience,believer,149
centuries,Centuries,believer,199
liberty,Liberty,believer,199
courage,Courage,believer,199
property,Property,believer,399
membranes,Membranes,believer,199
decay,Decay,believer,299
bonds,Bonds,believer,159
teamwork,Teamwork,believer,199
motivation,Motivation,believer,199
competition,Competition,believer,199
alignment,Alignment,believer,199
collusion,Collusion,believer,199
anger,Anger,believer,199
paper,Paper,believer,129
ink,Ink,believer,129
folding,Folding,believer,129
metals,Metals,believer,129
steel,Steel,believer,119
aluminum,Aluminum,believer,109
brass,Brass,believer,129
wood,Wood,believer,129
seeds,Seeds,believer,199
wheels,Wheels,believer,129
wedges,Wedges,believer,129
stars,Stars,believer,199
exploration,Exploration,believer,199
fabric,Fabric,believer,179
food,Food,believer,149
budgeting,Budgeting,believer,129
bookkeeping,Bookkeeping,believer,299
screws,Screws,believer,199
payroll,Payroll,believer,299
batteries,Batteries,believer,299
software,Software,believer,599
scroll,Scroll,believer,499
marketing,Marketing,believer,1299
twitter,Twitter,believer,1299
hydration,Hydration,believer,199
hurricanes,Hurricanes,believer,399
currency,Currency,believer,799
bitcoin,Bitcoin,believer,899
guitar,Guitar,frontier,599
piano,Piano,frontier,599
drums,Drums,frontier,599
singing,Singing,frontier,599
actuators,Actuators,frontier,1299
rockets,Rockets,frontier,1969
transistors,Transistors,frontier,1299
mitochondria,Mitochondria,frontier,1299
cancer,Cancer,frontier,1299
fusion,Fusion,frontier,1299
raising,Raising,frontier,1921
attraction,Attraction,frontier,699
basketball,Basketball,frontier,3323
football,Football,frontier,2837
soccer,Soccer,frontier,1023
boxing,Boxing,frontier,4956
golf,Golf,frontier,1518
baseball,Baseball,frontier,406
flow,Flow,frontier,1299
gluons,Gluons,frontier,1299
bosons,Bosons,frontier,1299
solar,Solar,frontier,10000
